cluster,id
13,615777
66,567189
6,451915
50,546121
16,568091
1,760104
26,72387
43,9947
15,10996
36,480414
75,8914
20,8390
7,16690
13,542178
46,134411
80,1281
84,38745
131,602223
11,325348
2,7552
13,43923
26,984
13,705861
63,18501
72,433310
10,553
6,376866
27,82703
36,10665
86,112949
2,10358
1,985
78,290512
36,476299
26,8374
20,63492
136,9482
10,8470
195,9894
157,9574
75,460458
96,12242
1,10331
71,228165
160,301351
36,9645
167,167
124,418078
144,829280
54,149509
101,13597
100,19898
83,8328
172,9007
84,277217
72,12556
10,602269
0,132344
15,332210
4,1429
68,13363
24,96
4,8923
50,400710
2,87818
59,8456
21,696
0,96724
4,1607
7,41216
198,401469
106,379170
20,549053
122,80035
20,9494
20,3563
66,9350
32,267193
42,814
26,8195
5,87492
78,6972
29,9600
80,11459
54,428449
21,858
84,11451
0,762975
30,11199
88,12159
29,9384
115,522
187,465136
0,42188
160,369557
4,504
12,783
55,13455
0,42297
158,581600
50,10320
6,10950
194,446791
32,168530
2,9757
22,4970
12,384680
20,556803
80,346648
172,1262
198,372343
192,412656
63,865
36,28355
30,329833
12,273895
32,454992
2,5825
21,8051
115,674324
101,294272
10,8848
50,86825
66,660
23,11011
12,614917
20,475303
30,6038
62,9567
44,38321
11,8536
47,339527
11,97
6,11978
20,2022
197,37821
32,457335
13,318121
21,245
0,37950
128,43947
112,6950
11,2135
28,6278
1,14001
113,2133
49,37707
180,77931
2,9493
21,84199
75,8814
182,522212
45,68727
138,12279
150,10313
75,615656
63,8202
14,11439
41,72571
73,58431
12,10139
22,502416
6,12102
2,484718
122,9397
9,347375
65,473
40,8872
41,591273
113,22972
128,1248
1,10065
6,399019
21,284
57,483906
9,625568
13,262
10,82525
2,89492
18,463821
4,1646
180,55301
0,152603
138,9488
13,16614
42,43593
93,13655
20,62838
36,619778
46,192102
2,137093
101,426543
120,926
85,921
4,154400
59,677179
50,523139
112,228066
29,37137
59,1428
199,59860
41,632357
15,9513
4,470044
1,37169
21,4564
1,283445
101,2309
177,8856
198,64689
60,642
22,758323
20,615665
54,23488
117,146198
13,303991
21,229297
96,280217
115,319888
113,503
23,10708
54,345938
21,8346
13,9388
66,667
13,18947
112,14337
143,522931
21,901
16,241251
9,399402
6,10024
26,49526
66,49021
0,24803
108,294963
125,11551
32,9595
20,34016
84,527435
88,795
104,837
79,77866
2,8274
2,71880
83,85446
29,623
20,460668
95,409
0,688
103,967
199,10603
10,1900
20,15144
50,48171
2,431530
9,11474
